Driver,LapNumber,LapTime,TireLife,TireMeters,Compound,IsFreshTire,Stint
LEC,1.0,2456.33,1.0,3337,MEDIUM,True,1.0
LEC,2.0,,1.0,3337,HARD,True,2.0
LEC,3.0,84.624,2.0,6674,HARD,True,2.0
LEC,4.0,82.625,3.0,10011,HARD,True,2.0
LEC,5.0,81.795,4.0,13348,HARD,True,2.0
LEC,6.0,81.145,5.0,16685,HARD,True,2.0
LEC,7.0,80.98,6.0,20022,HARD,True,2.0
LEC,8.0,81.03,7.0,23359,HARD,True,2.0
LEC,9.0,80.114,8.0,26696,HARD,True,2.0
LEC,10.0,80.775,9.0,30033,HARD,True,2.0
LEC,11.0,81.046,10.0,33370,HARD,True,2.0
LEC,12.0,80.252,11.0,36707,HARD,True,2.0
LEC,13.0,79.017,12.0,40044,HARD,True,2.0
LEC,14.0,79.913,13.0,43381,HARD,True,2.0
LEC,15.0,79.838,14.0,46718,HARD,True,2.0
LEC,16.0,80.156,15.0,50055,HARD,True,2.0
LEC,17.0,80.279,16.0,53392,HARD,True,2.0
LEC,18.0,79.58,17.0,56729,HARD,True,2.0
LEC,19.0,78.842,18.0,60066,HARD,True,2.0
LEC,20.0,78.724,19.0,63403,HARD,True,2.0
LEC,21.0,78.472,20.0,66740,HARD,True,2.0
LEC,22.0,78.62,21.0,70077,HARD,True,2.0
LEC,23.0,78.458,22.0,73414,HARD,True,2.0
LEC,24.0,78.725,23.0,76751,HARD,True,2.0
LEC,25.0,78.973,24.0,80088,HARD,True,2.0
LEC,26.0,78.445,25.0,83425,HARD,True,2.0
LEC,27.0,78.351,26.0,86762,HARD,True,2.0
LEC,28.0,78.71,27.0,90099,HARD,True,2.0
LEC,29.0,79.053,28.0,93436,HARD,True,2.0
LEC,30.0,79.935,29.0,96773,HARD,True,2.0
LEC,31.0,78.393,30.0,100110,HARD,True,2.0
LEC,32.0,79.125,31.0,103447,HARD,True,2.0
LEC,33.0,78.494,32.0,106784,HARD,True,2.0
LEC,34.0,79.319,33.0,110121,HARD,True,2.0
LEC,35.0,78.53,34.0,113458,HARD,True,2.0
LEC,36.0,78.689,35.0,116795,HARD,True,2.0
LEC,37.0,78.925,36.0,120132,HARD,True,2.0
LEC,38.0,78.528,37.0,123469,HARD,True,2.0
LEC,39.0,78.181,38.0,126806,HARD,True,2.0
LEC,40.0,78.733,39.0,130143,HARD,True,2.0
LEC,41.0,78.694,40.0,133480,HARD,True,2.0
LEC,42.0,79.277,41.0,136817,HARD,True,2.0
LEC,43.0,77.865,42.0,140154,HARD,True,2.0
LEC,44.0,78.276,43.0,143491,HARD,True,2.0
LEC,45.0,78.541,44.0,146828,HARD,True,2.0
LEC,46.0,78.567,45.0,150165,HARD,True,2.0
LEC,47.0,79.185,46.0,153502,HARD,True,2.0
LEC,48.0,77.941,47.0,156839,HARD,True,2.0
LEC,49.0,78.506,48.0,160176,HARD,True,2.0
LEC,50.0,78.185,49.0,163513,HARD,True,2.0
LEC,51.0,77.79,50.0,166850,HARD,True,2.0
LEC,52.0,78.311,51.0,170187,HARD,True,2.0
LEC,53.0,77.748,52.0,173524,HARD,True,2.0
LEC,54.0,77.357,53.0,176861,HARD,True,2.0
LEC,55.0,77.444,54.0,180198,HARD,True,2.0
LEC,56.0,77.266,55.0,183535,HARD,True,2.0
LEC,57.0,77.64,56.0,186872,HARD,True,2.0
LEC,58.0,77.028,57.0,190209,HARD,True,2.0
LEC,59.0,77.034,58.0,193546,HARD,True,2.0
LEC,60.0,76.414,59.0,196883,HARD,True,2.0
LEC,61.0,76.863,60.0,200220,HARD,True,2.0
LEC,62.0,77.454,61.0,203557,HARD,True,2.0
LEC,63.0,76.971,62.0,206894,HARD,True,2.0
LEC,64.0,76.56,63.0,210231,HARD,True,2.0
LEC,65.0,76.607,64.0,213568,HARD,True,2.0
LEC,66.0,76.489,65.0,216905,HARD,True,2.0
LEC,67.0,75.941,66.0,220242,HARD,True,2.0
LEC,68.0,76.082,67.0,223579,HARD,True,2.0
LEC,69.0,76.373,68.0,226916,HARD,True,2.0
LEC,70.0,75.767,69.0,230253,HARD,True,2.0
LEC,71.0,75.162,70.0,233590,HARD,True,2.0
LEC,72.0,75.547,71.0,236927,HARD,True,2.0
LEC,73.0,76.219,72.0,240264,HARD,True,2.0
LEC,74.0,76.105,73.0,243601,HARD,True,2.0
LEC,75.0,76.387,74.0,246938,HARD,True,2.0
LEC,76.0,76.808,75.0,250275,HARD,True,2.0
LEC,77.0,76.933,76.0,253612,HARD,True,2.0
LEC,78.0,78.636,77.0,256949,HARD,True,2.0
