LapNumber,LapTime,Compound,Position
1.0,0 days 00:01:24.238000,MEDIUM,1.0
2.0,0 days 00:01:19.367000,MEDIUM,1.0
3.0,0 days 00:01:19.074000,MEDIUM,1.0
4.0,0 days 00:01:18.129000,MEDIUM,1.0
5.0,0 days 00:01:18.019000,MEDIUM,1.0
6.0,0 days 00:01:17.640000,MEDIUM,1.0
7.0,0 days 00:01:17.633000,MEDIUM,1.0
8.0,0 days 00:01:17.397000,MEDIUM,1.0
9.0,0 days 00:01:17.031000,MEDIUM,1.0
10.0,0 days 00:01:17.084000,MEDIUM,1.0
11.0,0 days 00:01:16.858000,MEDIUM,1.0
12.0,0 days 00:01:16.993000,MEDIUM,1.0
13.0,0 days 00:01:17.434000,MEDIUM,1.0
14.0,0 days 00:01:17.065000,MEDIUM,1.0
15.0,0 days 00:01:17.079000,MEDIUM,1.0
16.0,0 days 00:01:16.824000,MEDIUM,1.0
17.0,0 days 00:01:16.860000,MEDIUM,1.0
18.0,0 days 00:01:16.712000,MEDIUM,1.0
19.0,0 days 00:01:16.823000,MEDIUM,1.0
20.0,0 days 00:01:17.214000,MEDIUM,1.0
21.0,0 days 00:01:16.803000,MEDIUM,1.0
22.0,0 days 00:01:16.659000,MEDIUM,1.0
23.0,0 days 00:01:16.604000,MEDIUM,1.0
24.0,0 days 00:01:16.798000,MEDIUM,1.0
25.0,0 days 00:01:17.183000,MEDIUM,1.0
26.0,0 days 00:01:17.212000,MEDIUM,1.0
27.0,0 days 00:01:17.259000,MEDIUM,1.0
28.0,0 days 00:01:17.770000,MEDIUM,1.0
29.0,0 days 00:01:18.001000,MEDIUM,1.0
30.0,0 days 00:01:18.160000,MEDIUM,1.0
31.0,0 days 00:01:18.741000,MEDIUM,1.0
32.0,0 days 00:01:18.816000,MEDIUM,1.0
33.0,0 days 00:01:18.946000,MEDIUM,1.0
34.0,0 days 00:01:18.044000,MEDIUM,1.0
35.0,0 days 00:01:18.024000,MEDIUM,1.0
36.0,0 days 00:01:17.974000,MEDIUM,1.0
37.0,0 days 00:01:17.273000,MEDIUM,1.0
38.0,0 days 00:01:17.122000,MEDIUM,1.0
39.0,0 days 00:01:16.966000,MEDIUM,1.0
40.0,0 days 00:01:17.161000,MEDIUM,1.0
41.0,0 days 00:01:16.944000,MEDIUM,1.0
42.0,0 days 00:01:16.800000,MEDIUM,1.0
43.0,0 days 00:01:16.963000,MEDIUM,1.0
44.0,0 days 00:01:16.722000,MEDIUM,1.0
45.0,0 days 00:01:16.701000,MEDIUM,1.0
46.0,0 days 00:01:17.075000,MEDIUM,1.0
47.0,0 days 00:01:17.160000,MEDIUM,1.0
48.0,0 days 00:01:17.065000,MEDIUM,1.0
49.0,0 days 00:01:17.428000,MEDIUM,1.0
50.0,0 days 00:01:17.314000,MEDIUM,1.0
51.0,0 days 00:01:17.427000,MEDIUM,1.0
52.0,0 days 00:01:24.046000,MEDIUM,1.0
53.0,0 days 00:01:29.919000,MEDIUM,1.0
54.0,0 days 00:01:38.946000,MEDIUM,1.0
55.0,0 days 00:02:10.567000,MEDIUM,1.0
56.0,0 days 00:01:46.131000,INTERMEDIATE,1.0
57.0,0 days 00:01:43.464000,INTERMEDIATE,1.0
58.0,0 days 00:01:42.808000,INTERMEDIATE,1.0
59.0,0 days 00:01:43.791000,INTERMEDIATE,1.0
60.0,0 days 00:01:41.540000,INTERMEDIATE,1.0
61.0,0 days 00:01:40.797000,INTERMEDIATE,1.0
62.0,0 days 00:01:39.272000,INTERMEDIATE,1.0
63.0,0 days 00:01:39.610000,INTERMEDIATE,1.0
64.0,0 days 00:01:38.364000,INTERMEDIATE,1.0
65.0,0 days 00:01:37.160000,INTERMEDIATE,1.0
66.0,0 days 00:01:34.035000,INTERMEDIATE,1.0
67.0,0 days 00:01:32.921000,INTERMEDIATE,1.0
68.0,0 days 00:01:33.659000,INTERMEDIATE,1.0
69.0,0 days 00:01:31.607000,INTERMEDIATE,1.0
70.0,0 days 00:01:31.244000,INTERMEDIATE,1.0
71.0,0 days 00:01:30.363000,INTERMEDIATE,1.0
72.0,0 days 00:01:30.402000,INTERMEDIATE,1.0
73.0,0 days 00:01:28.386000,INTERMEDIATE,1.0
74.0,0 days 00:01:26.864000,INTERMEDIATE,1.0
75.0,0 days 00:01:25.518000,INTERMEDIATE,1.0
76.0,0 days 00:01:25.316000,INTERMEDIATE,1.0
77.0,0 days 00:01:25.460000,INTERMEDIATE,1.0
78.0,0 days 00:01:25.201000,INTERMEDIATE,1.0
