DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
11,PER,1.0,1.0,4.0,21112,SOFT,False,0 days 00:01:42.296000
11,PER,2.0,1.0,5.0,26390,SOFT,False,0 days 00:01:31.970000
11,PER,3.0,1.0,6.0,31668,SOFT,False,0 days 00:01:31.356000
11,PER,4.0,1.0,7.0,36946,SOFT,False,0 days 00:01:31.743000
11,PER,5.0,1.0,8.0,42224,SOFT,False,0 days 00:01:31.400000
11,PER,6.0,1.0,9.0,47502,SOFT,False,0 days 00:01:31.175000
11,PER,7.0,1.0,10.0,52780,SOFT,False,0 days 00:01:31.143000
11,PER,8.0,1.0,11.0,58058,SOFT,False,0 days 00:01:31.075000
11,PER,9.0,1.0,12.0,63336,SOFT,False,0 days 00:01:31.058000
11,PER,10.0,1.0,13.0,68614,SOFT,False,0 days 00:01:30.945000
11,PER,11.0,1.0,14.0,73892,SOFT,False,0 days 00:01:30.850000
11,PER,12.0,1.0,15.0,79170,SOFT,False,0 days 00:01:31.103000
11,PER,13.0,1.0,16.0,84448,SOFT,False,0 days 00:01:50.063000
11,PER,14.0,2.0,1.0,5278,HARD,True,0 days 00:01:34.939000
11,PER,15.0,2.0,2.0,10556,HARD,True,0 days 00:01:29.916000
11,PER,16.0,2.0,3.0,15834,HARD,True,0 days 00:01:29.675000
11,PER,17.0,2.0,4.0,21112,HARD,True,0 days 00:01:30.215000
11,PER,18.0,2.0,5.0,26390,HARD,True,0 days 00:01:29.801000
11,PER,19.0,2.0,6.0,31668,HARD,True,0 days 00:01:29.935000
11,PER,20.0,2.0,7.0,36946,HARD,True,0 days 00:01:30.020000
11,PER,21.0,2.0,8.0,42224,HARD,True,0 days 00:01:29.481000
11,PER,22.0,2.0,9.0,47502,HARD,True,0 days 00:01:30.554000
11,PER,23.0,2.0,10.0,52780,HARD,True,0 days 00:01:30.759000
11,PER,24.0,2.0,11.0,58058,HARD,True,0 days 00:01:30.364000
11,PER,25.0,2.0,12.0,63336,HARD,True,0 days 00:01:30.696000
11,PER,26.0,2.0,13.0,68614,HARD,True,0 days 00:01:31.849000
11,PER,27.0,2.0,14.0,73892,HARD,True,0 days 00:01:29.691000
11,PER,28.0,2.0,15.0,79170,HARD,True,0 days 00:01:29.365000
11,PER,29.0,2.0,16.0,84448,HARD,True,0 days 00:01:29.835000
11,PER,30.0,2.0,17.0,89726,HARD,True,0 days 00:01:29.609000
11,PER,31.0,2.0,18.0,95004,HARD,True,0 days 00:01:29.686000
11,PER,32.0,2.0,19.0,100282,HARD,True,0 days 00:01:29.037000
11,PER,33.0,2.0,20.0,105560,HARD,True,0 days 00:01:29.162000
11,PER,34.0,2.0,21.0,110838,HARD,True,0 days 00:01:29.016000
11,PER,35.0,2.0,22.0,116116,HARD,True,0 days 00:01:29.381000
11,PER,36.0,2.0,23.0,121394,HARD,True,0 days 00:01:28.808000
11,PER,37.0,2.0,24.0,126672,HARD,True,0 days 00:01:29.264000
11,PER,38.0,2.0,25.0,131950,HARD,True,0 days 00:01:31.415000
11,PER,39.0,2.0,26.0,137228,HARD,True,0 days 00:01:29.176000
11,PER,40.0,2.0,27.0,142506,HARD,True,0 days 00:01:28.732000
11,PER,41.0,2.0,28.0,147784,HARD,True,0 days 00:01:28.485000
11,PER,42.0,2.0,29.0,153062,HARD,True,0 days 00:01:28.688000
11,PER,43.0,2.0,30.0,158340,HARD,True,0 days 00:01:28.664000
11,PER,44.0,2.0,31.0,163618,HARD,True,0 days 00:01:28.939000
11,PER,45.0,2.0,32.0,168896,HARD,True,0 days 00:01:28.738000
11,PER,46.0,2.0,33.0,174174,HARD,True,0 days 00:01:28.834000
11,PER,47.0,2.0,34.0,179452,HARD,True,0 days 00:01:29.781000
11,PER,48.0,2.0,35.0,184730,HARD,True,0 days 00:01:28.928000
11,PER,49.0,2.0,36.0,190008,HARD,True,0 days 00:01:29.246000
11,PER,50.0,2.0,37.0,195286,HARD,True,0 days 00:01:30.191000
11,PER,51.0,2.0,38.0,200564,HARD,True,0 days 00:01:32.162000
11,PER,52.0,2.0,39.0,205842,HARD,True,0 days 00:01:31.980000
11,PER,53.0,2.0,40.0,211120,HARD,True,0 days 00:01:30.966000
11,PER,54.0,2.0,41.0,216398,HARD,True,0 days 00:01:30.950000
11,PER,55.0,2.0,42.0,221676,HARD,True,0 days 00:01:30.797000
11,PER,56.0,2.0,43.0,226954,HARD,True,0 days 00:01:30.821000
11,PER,57.0,2.0,44.0,232232,HARD,True,0 days 00:01:31.061000
